grinning	😀	grinning face
smiley	😃	grinning face with big eyes
smile	😄	grinning face with smiling eyes
grin	😁	beaming face with smiling eyes
laughing	😆	grinning squinting face
satisfied	😆	grinning squinting face
sweat_smile	😅	grinning face with sweat
rofl	🤣	rolling on the floor laughing
joy	😂	face with tears of joy
slightly_smiling_face	🙂	slightly smiling face
upside_down_face	🙃	upside-down face
melting_face	🫠	melting face
wink	😉	winking face
blush	😊	smiling face with smiling eyes
innocent	😇	smiling face with halo
smiling_face_with_three_hearts	🥰	smiling face with hearts
heart_eyes	😍	smiling face with heart-eyes
star_struck	🤩	star-struck
kissing_heart	😘	face blowing a kiss
kissing	😗	kissing face
relaxed	☺️	smiling face
kissing_closed_eyes	😚	kissing face with closed eyes
kissing_smiling_eyes	😙	kissing face with smiling eyes
smiling_face_with_tear	🥲	smiling face with tear
yum	😋	face savoring food
stuck_out_tongue	😛	face with tongue
stuck_out_tongue_winking_eye	😜	winking face with tongue
zany_face	🤪	zany face
stuck_out_tongue_closed_eyes	😝	squinting face with tongue
money_mouth_face	🤑	money-mouth face
hugs	🤗	smiling face with open hands
hand_over_mouth	🤭	face with hand over mouth
face_with_open_eyes_and_hand_over_mouth	🫢	face with open eyes and hand over mouth
face_with_peeking_eye	🫣	face with peeking eye
shushing_face	🤫	shushing face
thinking	🤔	thinking face
saluting_face	🫡	saluting face
zipper_mouth_face	🤐	zipper-mouth face
raised_eyebrow	🤨	face with raised eyebrow
neutral_face	😐	neutral face
expressionless	😑	expressionless face
no_mouth	😶	face without mouth
dotted_line_face	🫥	dotted line face
face_in_clouds	😶‍🌫️	face in clouds
smirk	😏	smirking face
unamused	😒	unamused face
roll_eyes	🙄	face with rolling eyes
grimacing	😬	grimacing face
face_exhaling	😮‍💨	face exhaling
lying_face	🤥	lying face
shaking_face	🫨	shaking face
relieved	😌	relieved face
pensive	😔	pensive face
sleepy	😪	sleepy face
drooling_face	🤤	drooling face
sleeping	😴	sleeping face
mask	😷	face with medical mask
face_with_thermometer	🤒	face with thermometer
face_with_head_bandage	🤕	face with head-bandage
nauseated_face	🤢	nauseated face
vomiting_face	🤮	face vomiting
sneezing_face	🤧	sneezing face
hot_face	🥵	hot face
cold_face	🥶	cold face
woozy_face	🥴	woozy face
dizzy_face	😵	face with crossed-out eyes
face_with_spiral_eyes	😵‍💫	face with spiral eyes
exploding_head	🤯	exploding head
cowboy_hat_face	🤠	cowboy hat face
partying_face	🥳	partying face
disguised_face	🥸	disguised face
sunglasses	😎	smiling face with sunglasses
nerd_face	🤓	nerd face
monocle_face	🧐	face with monocle
confused	😕	confused face
face_with_diagonal_mouth	🫤	face with diagonal mouth
worried	😟	worried face
slightly_frowning_face	🙁	slightly frowning face
frowning_face	☹️	frowning face
open_mouth	😮	face with open mouth
hushed	😯	hushed face
astonished	😲	astonished face
flushed	😳	flushed face
pleading_face	🥺	pleading face
face_holding_back_tears	🥹	face holding back tears
frowning	😦	frowning face with open mouth
anguished	😧	anguished face
fearful	😨	fearful face
cold_sweat	😰	anxious face with sweat
disappointed_relieved	😥	sad but relieved face
cry	😢	crying face
sob	😭	loudly crying face
scream	😱	face screaming in fear
confounded	😖	confounded face
persevere	😣	persevering face
disappointed	😞	disappointed face
sweat	😓	downcast face with sweat
weary	😩	weary face
tired_face	😫	tired face
yawning_face	🥱	yawning face
triumph	😤	face with steam from nose
rage	😡	enraged face
pout	😡	enraged face
angry	😠	angry face
cursing_face	🤬	face with symbols on mouth
smiling_imp	😈	smiling face with horns
imp	👿	angry face with horns
skull	💀	skull
skull_and_crossbones	☠️	skull and crossbones
hankey	💩	pile of poo
poop	💩	pile of poo
shit	💩	pile of poo
clown_face	🤡	clown face
japanese_ogre	👹	ogre
japanese_goblin	👺	goblin
ghost	👻	ghost
alien	👽	alien
space_invader	👾	alien monster
robot	🤖	robot
smiley_cat	😺	grinning cat
smile_cat	😸	grinning cat with smiling eyes
joy_cat	😹	cat with tears of joy
heart_eyes_cat	😻	smiling cat with heart-eyes
smirk_cat	😼	cat with wry smile
kissing_cat	😽	kissing cat
scream_cat	🙀	weary cat
crying_cat_face	😿	crying cat
pouting_cat	😾	pouting cat
see_no_evil	🙈	see-no-evil monkey
hear_no_evil	🙉	hear-no-evil monkey
speak_no_evil	🙊	speak-no-evil monkey
love_letter	💌	love letter
cupid	💘	heart with arrow
gift_heart	💝	heart with ribbon
sparkling_heart	💖	sparkling heart
heartpulse	💗	growing heart
heartbeat	💓	beating heart
revolving_hearts	💞	revolving hearts
two_hearts	💕	two hearts
heart_decoration	💟	heart decoration
heavy_heart_exclamation	❣️	heart exclamation
broken_heart	💔	broken heart
heart_on_fire	❤️‍🔥	heart on fire
mending_heart	❤️‍🩹	mending heart
heart	❤️	red heart
pink_heart	🩷	pink heart
orange_heart	🧡	orange heart
yellow_heart	💛	yellow heart
green_heart	💚	green heart
blue_heart	💙	blue heart
light_blue_heart	🩵	light blue heart
purple_heart	💜	purple heart
brown_heart	🤎	brown heart
black_heart	🖤	black heart
grey_heart	🩶	grey heart
white_heart	🤍	white heart
kiss	💋	kiss mark
100	💯	hundred points
anger	💢	anger symbol
boom	💥	collision
collision	💥	collision
dizzy	💫	dizzy
sweat_drops	💦	sweat droplets
dash	💨	dashing away
hole	🕳️	hole
speech_balloon	💬	speech balloon
eye_speech_bubble	👁️‍🗨️	eye in speech bubble
left_speech_bubble	🗨️	left speech bubble
right_anger_bubble	🗯️	right anger bubble
thought_balloon	💭	thought balloon
zzz	💤	ZZZ
wave	👋	waving hand
raised_back_of_hand	🤚	raised back of hand
raised_hand_with_fingers_splayed	🖐️	hand with fingers splayed
hand	✋	raised hand
raised_hand	✋	raised hand
vulcan_salute	🖖	vulcan salute
rightwards_hand	🫱	rightwards hand
leftwards_hand	🫲	leftwards hand
palm_down_hand	🫳	palm down hand
palm_up_hand	🫴	palm up hand
leftwards_pushing_hand	🫷	leftwards pushing hand
rightwards_pushing_hand	🫸	rightwards pushing hand
ok_hand	👌	OK hand
pinched_fingers	🤌	pinched fingers
pinching_hand	🤏	pinching hand
v	✌️	victory hand
crossed_fingers	🤞	crossed fingers
hand_with_index_finger_and_thumb_crossed	🫰	hand with index finger and thumb crossed
love_you_gesture	🤟	love-you gesture
metal	🤘	sign of the horns
call_me_hand	🤙	call me hand
point_left	👈	backhand index pointing left
point_right	👉	backhand index pointing right
point_up_2	👆	backhand index pointing up
middle_finger	🖕	middle finger
fu	🖕	middle finger
point_down	👇	backhand index pointing down
point_up	☝️	index pointing up
index_pointing_at_the_viewer	🫵	index pointing at the viewer
+1	👍	thumbs up
thumbsup	👍	thumbs up
-1	👎	thumbs down
thumbsdown	👎	thumbs down
fist_raised	✊	raised fist
fist	✊	raised fist
fist_oncoming	👊	oncoming fist
facepunch	👊	oncoming fist
punch	👊	oncoming fist
fist_left	🤛	left-facing fist
fist_right	🤜	right-facing fist
clap	👏	clapping hands
raised_hands	🙌	raising hands
heart_hands	🫶	heart hands
open_hands	👐	open hands
palms_up_together	🤲	palms up together
handshake	🤝	handshake
pray	🙏	folded hands
writing_hand	✍️	writing hand
nail_care	💅	nail polish
selfie	🤳	selfie
muscle	💪	flexed biceps
mechanical_arm	🦾	mechanical arm
mechanical_leg	🦿	mechanical leg
leg	🦵	leg
foot	🦶	foot
ear	👂	ear
ear_with_hearing_aid	🦻	ear with hearing aid
nose	👃	nose
brain	🧠	brain
anatomical_heart	🫀	anatomical heart
lungs	🫁	lungs
tooth	🦷	tooth
bone	🦴	bone
eyes	👀	eyes
eye	👁️	eye
tongue	👅	tongue
lips	👄	mouth
biting_lip	🫦	biting lip
baby	👶	baby
child	🧒	child
boy	👦	boy
girl	👧	girl
adult	🧑	person
blond_haired_person	👱	person: blond hair
man	👨	man
bearded_person	🧔	person: beard
man_beard	🧔‍♂️	man: beard
woman_beard	🧔‍♀️	woman: beard
red_haired_man	👨‍🦰	man: red hair
curly_haired_man	👨‍🦱	man: curly hair
white_haired_man	👨‍🦳	man: white hair
bald_man	👨‍🦲	man: bald
woman	👩	woman
red_haired_woman	👩‍🦰	woman: red hair
person_red_hair	🧑‍🦰	person: red hair
curly_haired_woman	👩‍🦱	woman: curly hair
person_curly_hair	🧑‍🦱	person: curly hair
white_haired_woman	👩‍🦳	woman: white hair
person_white_hair	🧑‍🦳	person: white hair
bald_woman	👩‍🦲	woman: bald
person_bald	🧑‍🦲	person: bald
blond_haired_woman	👱‍♀️	woman: blond hair
blonde_woman	👱‍♀️	woman: blond hair
blond_haired_man	👱‍♂️	man: blond hair
older_adult	🧓	older person
older_man	👴	old man
older_woman	👵	old woman
frowning_person	🙍	person frowning
frowning_man	🙍‍♂️	man frowning
frowning_woman	🙍‍♀️	woman frowning
pouting_face	🙎	person pouting
pouting_man	🙎‍♂️	man pouting
pouting_woman	🙎‍♀️	woman pouting
no_good	🙅	person gesturing NO
no_good_man	🙅‍♂️	man gesturing NO
